Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH3
1.29504780e-02,0.0600001,0.03
1.29504790e-02,0.0600001,0.03
1.29504800e-02,0.0600001,0.03
1.29504810e-02,0.0600001,0.01
1.29504820e-02,0.0600001,-0.00999996
1.29504830e-02,0.0600001,0.01
1.29504840e-02,0.0600001,-0.00999996
1.29504850e-02,0.0600001,0.03
1.29504860e-02,0.0600001,0.01
1.29504870e-02,0.0600001,0.03
1.29504880e-02,0.0800001,0.03
1.29504890e-02,0.0600001,0.03
1.29504900e-02,0.0600001,0.01
1.29504910e-02,0.0600001,0.03
1.29504920e-02,0.0800001,0.01
1.29504930e-02,0.0600001,0.03
1.29504940e-02,0.0600001,0.03
1.29504950e-02,0.0600001,0.03
1.29504960e-02,0.0600001,0.03
1.29504970e-02,0.0600001,0.03
1.29504980e-02,0.0800001,0.03
1.29504990e-02,0.0600001,0.03
1.29505000e-02,0.0600001,0.03
1.29505010e-02,0.0600001,0.03
1.29505020e-02,0.0600001,0.03
1.29505030e-02,0.0600001,0.03
1.29505040e-02,0.0600001,-0.00999996
1.29505050e-02,0.0600001,0.01
1.29505060e-02,0.0600001,0.01
1.29505070e-02,0.0600001,0.01
1.29505080e-02,0.0600001,-0.00999996
1.29505090e-02,0.0600001,0.03
1.29505100e-02,0.0600001,0.03
1.29505110e-02,0.0600001,0.01
1.29505120e-02,0.0800001,0.01
1.29505130e-02,0.0800001,0.01
1.29505140e-02,0.0600001,0.01
1.29505150e-02,0.0600001,0.01
1.29505160e-02,0.0400001,0.03
1.29505170e-02,0.0400001,0.03
1.29505180e-02,0.0600001,0.03
1.29505190e-02,0.0600001,0.03
1.29505200e-02,0.0600001,0.01
1.29505210e-02,0.0800001,0.03
1.29505220e-02,0.0600001,0.01
1.29505230e-02,0.0600001,0.01
1.29505240e-02,0.0800001,0.01
1.29505250e-02,0.0800001,0.03
1.29505260e-02,0.0600001,0.01
1.29505270e-02,0.0400001,0.01
1.29505280e-02,0.0600001,0.01
1.29505290e-02,0.0600001,0.01
1.29505300e-02,0.0600001,0.01
1.29505310e-02,0.0600001,0.01
1.29505320e-02,0.0600001,0.01
1.29505330e-02,0.0600001,0.01
1.29505340e-02,0.0600001,0.01
1.29505350e-02,0.0600001,0.01
1.29505360e-02,0.0600001,0.01
1.29505370e-02,0.0600001,0.05
1.29505380e-02,0.0600001,0.03
1.29505390e-02,0.0400001,0.03
1.29505400e-02,0.0600001,0.01
1.29505410e-02,0.0600001,0.03
1.29505420e-02,0.0400001,0.01
1.29505430e-02,0.0400001,0.01
1.29505440e-02,0.0400001,0.01
1.29505450e-02,0.0600001,0.03
1.29505460e-02,0.0400001,0.03
1.29505470e-02,0.0400001,0.03
1.29505480e-02,0.0600001,0.03
1.29505490e-02,0.0800001,0.01
1.29505500e-02,0.0800001,0.01
1.29505510e-02,0.0600001,0.01
1.29505520e-02,0.0600001,-0.00999996
1.29505530e-02,0.0600001,0.01
1.29505540e-02,0.0800001,0.01
1.29505550e-02,0.0800001,0.01
1.29505560e-02,0.0600001,0.03
1.29505570e-02,0.0400001,0.03
1.29505580e-02,0.0600001,0.01
1.29505590e-02,0.0600001,0.01
1.29505600e-02,0.0800001,0.01
1.29505610e-02,0.0600001,0.03
1.29505620e-02,0.0800001,0.01
1.29505630e-02,0.0600001,0.01
1.29505640e-02,0.0800001,0.01
1.29505650e-02,0.0600001,0.03
1.29505660e-02,0.0600001,0.05
1.29505670e-02,0.0600001,0.03
1.29505680e-02,0.0600001,0.01
1.29505690e-02,0.0600001,0.01
1.29505700e-02,0.0600001,-0.00999996
1.29505710e-02,0.0600001,0.01
1.29505720e-02,0.0600001,0.01
1.29505730e-02,0.0600001,0.03
1.29505740e-02,0.0600001,0.03
1.29505750e-02,0.0600001,0.03
1.29505760e-02,0.0600001,0.01
1.29505770e-02,0.0600001,0.01
1.29505780e-02,0.0800001,0.01
1.29505790e-02,0.0600001,0.01
1.29505800e-02,0.0400001,0.01
1.29505810e-02,0.0400001,0.01
1.29505820e-02,0.0600001,0.01
1.29505830e-02,0.0600001,0.01
1.29505840e-02,0.0600001,0.01
1.29505850e-02,0.0600001,0.01
1.29505860e-02,0.0800001,0.01
1.29505870e-02,0.0600001,0.01
1.29505880e-02,0.0800001,-0.00999996
1.29505890e-02,0.0600001,0.01
1.29505900e-02,0.0600001,0.01
1.29505910e-02,0.0600001,0.03
1.29505920e-02,0.0600001,0.03
1.29505930e-02,0.0600001,0.03
1.29505940e-02,0.0600001,0.03
1.29505950e-02,0.0600001,0.03
1.29505960e-02,0.0800001,0.03
1.29505970e-02,0.0600001,0.03
1.29505980e-02,0.0600001,0.03
1.29505990e-02,0.0600001,0.03
1.29506000e-02,0.0800001,0.01
1.29506010e-02,0.0800001,0.03
1.29506020e-02,0.0800001,0.01
1.29506030e-02,0.0600001,0.01
1.29506040e-02,0.0800001,0.03
1.29506050e-02,0.0600001,0.03
1.29506060e-02,0.0600001,0.01
1.29506070e-02,0.0600001,0.01
1.29506080e-02,0.0600001,0.01
1.29506090e-02,0.0600001,0.01
1.29506100e-02,0.0600001,0.01
1.29506110e-02,0.0600001,0.03
1.29506120e-02,0.0600001,0.03
1.29506130e-02,0.0600001,0.03
1.29506140e-02,0.0600001,0.03
1.29506150e-02,0.0600001,0.03
1.29506160e-02,0.0600001,0.03
1.29506170e-02,0.0600001,0.03
1.29506180e-02,0.0800001,0.01
1.29506190e-02,0.0600001,0.03
1.29506200e-02,0.0600001,0.03
1.29506210e-02,0.0600001,0.03
1.29506220e-02,0.0600001,0.01
1.29506230e-02,0.0600001,0.01
1.29506240e-02,0.0600001,0.03
1.29506250e-02,0.0400001,0.01
1.29506260e-02,0.0600001,0.01
1.29506270e-02,0.0600001,0.03
1.29506280e-02,0.0600001,0.01
1.29506290e-02,0.0600001,0.01
1.29506300e-02,0.0600001,0.01
1.29506310e-02,0.0400001,0.01
1.29506320e-02,0.0600001,0.01
1.29506330e-02,0.0600001,0.01
1.29506340e-02,0.0600001,0.01
1.29506350e-02,0.0600001,0.03
1.29506360e-02,0.0600001,0.03
1.29506370e-02,0.0600001,0.03
1.29506380e-02,0.0600001,0.01
1.29506390e-02,0.0600001,0.03
1.29506400e-02,0.0600001,0.01
1.29506410e-02,0.0600001,0.01
1.29506420e-02,0.0600001,0.01
1.29506430e-02,0.0600001,0.01
1.29506440e-02,0.0600001,0.01
1.29506450e-02,0.0600001,0.01
1.29506460e-02,0.0600001,0.01
1.29506470e-02,0.0600001,0.01
1.29506480e-02,0.0600001,-0.00999996
1.29506490e-02,0.0600001,0.01
1.29506500e-02,0.0800001,0.01
1.29506510e-02,0.0600001,0.01
1.29506520e-02,0.0600001,0.01
1.29506530e-02,0.0600001,0.01
1.29506540e-02,0.0600001,0.01
1.29506550e-02,0.0600001,0.01
1.29506560e-02,0.0600001,0.01
1.29506570e-02,0.0600001,0.01
1.29506580e-02,0.0600001,0.01
1.29506590e-02,0.0400001,0.03
1.29506600e-02,0.0600001,0.03
1.29506610e-02,0.0600001,0.03
1.29506620e-02,0.0800001,0.03
1.29506630e-02,0.0600001,0.01
1.29506640e-02,0.0600001,0.01
1.29506650e-02,0.0600001,0.01
1.29506660e-02,0.0600001,0.01
1.29506670e-02,0.0800001,0.01
1.29506680e-02,0.0600001,0.01
1.29506690e-02,0.0400001,0.03
1.29506700e-02,0.0600001,0.03
1.29506710e-02,0.0600001,0.03
1.29506720e-02,0.0600001,0.03
1.29506730e-02,0.0400001,0.01
1.29506740e-02,0.0600001,0.01
1.29506750e-02,0.0600001,0.03
1.29506760e-02,0.0600001,0.03
1.29506770e-02,0.0600001,0.03
1.29506780e-02,0.0600001,0.03
1.29506790e-02,0.0600001,0.01
1.29506800e-02,0.0600001,0.01
1.29506810e-02,0.0600001,0.03
1.29506820e-02,0.0600001,0.03
1.29506830e-02,0.0400001,0.01
1.29506840e-02,0.0800001,0.01
1.29506850e-02,0.0800001,0.03
1.29506860e-02,0.0800001,0.01
1.29506870e-02,0.0600001,0.01
1.29506880e-02,0.0600001,0.01
1.29506890e-02,0.0600001,0.01
1.29506900e-02,0.0600001,0.01
1.29506910e-02,0.0600001,0.01
1.29506920e-02,0.0600001,0.01
1.29506930e-02,0.0600001,0.01
1.29506940e-02,0.0600001,0.01
1.29506950e-02,0.0600001,0.01
1.29506960e-02,0.0600001,0.01
1.29506970e-02,0.0600001,0.03
